File Name,Mobile phase,Gradient,Instrument,Optimalization,Sample,RT (min),Spermine,Spermidine,Putrescine
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.49,18,31,28
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.494,0,113,67
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.498,0,63,175
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.502,0,90,80
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.505,71,184,363
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.509,72,129,205
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.513,75,211,427
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.517,73,278,396
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.52,0,216,325
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.524,170,75,220
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.528,0,186,272
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.532,63,190,360
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.535,134,0,202
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.539,133,253,123
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.543,33,456,203
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.547,0,239,159
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.55,0,362,298
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.554,88,221,181
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.558,54,184,37
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.562,0,228,154
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.565,0,107,212
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.569,0,99,97
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.573,0,373,136
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.576,15,335,70
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.58,44,251,15
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.584,35,442,23
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.588,166,324,126
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.591,0,215,23
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.595,69,491,31
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.599,46,361,45
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.603,51,339,34
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.606,71,653,37
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.61,20,333,52
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.614,0,329,38
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.618,83,307,18
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.621,40,299,15
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.625,202,224,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.629,0,314,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.632,107,295,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.636,165,505,14
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.64,118,640,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.644,31,1264,8
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.647,0,1911,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.651,28,1791,16
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.655,0,2926,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.659,63,3761,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.662,67,3528,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.666,17,4721,54
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.67,128,6333,16
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.674,172,7140,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.677,0,8080,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.681,0,8273,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.685,23,9019,17
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.689,0,10434,25
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.692,82,11336,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.696,36,13292,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.7,0,14275,16
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.703,0,14706,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.707,37,17806,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.711,14,17297,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.715,0,17854,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.718,52,17542,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.722,61,19706,15
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.726,74,19455,13
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.73,31,21290,18
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.733,0,21447,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.737,93,23696,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.741,87,23180,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.745,79,24179,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.748,0,24555,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.752,38,24667,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.756,110,27772,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.76,48,26157,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.763,91,27174,68
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.767,114,26905,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.771,70,28107,312
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.775,22,28267,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.778,97,27854,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.782,92,31524,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.786,172,30430,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.789,147,30757,39
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.793,0,29155,14
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.797,192,31910,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.801,112,31803,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.804,98,31671,43
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.808,62,30558,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.812,77,33110,30
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.816,112,31134,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.819,52,31180,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.823,111,31331,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.827,0,30428,83
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.842,211,32238,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.846,177,29638,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.849,204,29236,60
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.853,160,30109,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.857,56,29924,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.861,201,28341,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.864,364,25002,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.868,441,24116,45
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.872,209,25288,18
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.875,287,24811,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.879,493,24074,32
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.883,140,21847,82
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.887,195,21081,298
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.89,361,19282,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.894,412,19524,23
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.898,435,17916,39
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.902,315,16553,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.905,499,16153,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.909,518,14277,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.913,351,14404,16
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.917,350,12687,108
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.92,515,11603,89
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.924,541,10406,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.928,644,10833,42
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.932,394,9359,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.935,243,8171,16
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.939,454,7640,51
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.943,624,8361,26
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.946,274,6632,24
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.95,329,5815,27
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.954,228,5251,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.958,454,5226,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.961,284,4364,39
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.965,413,4333,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.969,235,3826,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.973,335,3606,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.976,193,2588,15
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.98,106,2968,27
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.984,147,2594,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.988,69,2351,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.991,86,1822,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.995,209,1891,18
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,0.999,292,1750,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.003,0,1660,55
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.006,209,1278,115
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.01,204,1376,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.014,274,1096,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.017,208,965,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.021,196,993,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.025,183,833,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.029,199,722,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.032,343,747,45
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.036,144,795,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.04,153,528,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.044,60,524,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.047,149,595,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.051,169,372,96
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.055,120,624,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.059,0,471,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.062,184,551,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.066,146,349,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.07,200,370,23
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.074,277,358,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.077,130,262,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.081,0,86,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.085,181,391,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.088,183,344,30
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.092,140,557,22
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.096,249,214,57
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.1,143,59,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.103,162,356,108
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.107,111,187,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.111,288,249,107
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.115,264,193,49
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.118,58,224,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.122,208,76,33
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.126,321,248,25
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.13,174,274,75
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.133,311,275,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.137,244,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.141,298,109,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.145,179,158,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.148,462,193,13
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.152,495,407,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.156,421,164,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.16,0,111,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.163,0,135,60
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.167,443,253,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.171,435,144,48
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.175,391,200,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.178,550,131,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.182,699,115,59
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.186,601,63,29
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.189,968,371,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.193,813,103,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.197,545,256,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.201,519,211,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.204,1082,112,48
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.208,680,152,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.212,771,171,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.216,897,175,61
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.219,931,48,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.223,941,120,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.227,1123,248,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.231,1090,207,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.234,1033,120,51
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.238,1141,0,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.242,1288,46,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.246,1177,21,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.249,1416,195,29
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.253,1839,116,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.257,1492,61,23
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.26,1305,146,44
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.264,1909,75,208
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.268,1798,30,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.272,1913,51,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.275,2294,46,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.279,2206,87,0
20240913_PA_Test_PA_009,MP1,Grad1,G2,Mobile phase,PA mix 10 然,1.283,2545,191,0
